Year,Overall,Males,Females
1991,31,32,30
1992,30.66667,31.66667,29.16667
1993,30.33333,31.33333,28.33333
1994,30,31,27.5
1995,26,28,25
1996,27,29,26
1997,26.33333,28.33333,25
1998,25.66667,27.66667,24
1999,25,27,23
2000,24,26,23
2001,22,24,20
2002,21,23,20
2003,21,23,18
2004,20,22,17
2005,19,22,16
2006,19,20,17
2007,19,20,18
2008,18,20,16
2009,17.5,19,16
2010,17,20,14
2011,17,20,15
2012,,20.1,15
2013,,20.2,15
2014,,20.3,15
2015,,20.4,15
2016,,19.4,14.5
2017,,19.1,13.4
2018,,18.6,13
