Age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0 to 4 years,"956,232","972,865","982,054","980,281","967,307","956,161","933,588","912,765","892,108","874,519","856,323","841,317","831,535","830,344","830,594","839,384","853,157","874,004","892,987","912,977","926,799","936,353","939,499","941,623","942,202","949,211","947,353","946,253","941,883","936,492"
5 to 9 years,"943,493","950,345","953,369","959,727","971,748","983,350","995,661","1,005,130","1,003,151","993,237","984,620","969,963","950,572","929,999","910,001","887,847","876,503","870,429","870,876","871,126","882,489","901,853","925,856","945,996","966,354","983,263","991,248","995,151","998,264","998,650"
10 to 14 years,"926,609","939,534","952,918","965,529","972,711","977,825","983,098","986,474","990,952","1,002,745","1,014,489","1,031,319","1,043,013","1,045,029","1,037,575","1,025,117","1,007,756","989,874","971,570","952,785","931,141","921,003","917,618","922,866","926,559","941,266","956,204","978,222","997,758","1,016,787"
15 to 19 years,"936,386","937,211","940,007","951,086","962,420","976,694","985,278","997,656","1,008,779","1,018,415","1,027,634","1,033,579","1,034,315","1,040,749","1,056,787","1,075,234","1,089,626","1,101,483","1,104,420","1,098,911","1,090,409","1,065,567","1,042,464","1,024,483","1,012,670","1,009,025","1,014,490","1,024,156","1,031,314","1,026,774"
20 to 24 years,"1,023,850","1,015,763","1,004,060","994,093","987,065","983,288","983,764","985,193","995,891","1,009,565","1,030,027","1,047,380","1,064,767","1,080,971","1,091,380","1,098,759","1,105,399","1,109,909","1,122,351","1,143,491","1,159,133","1,169,935","1,174,716","1,170,249","1,150,926","1,145,078","1,151,100","1,165,965","1,182,807","1,187,455"
25 to 29 years,"1,235,874","1,201,033","1,154,538","1,112,171","1,079,045","1,065,920","1,053,045","1,041,386","1,030,184","1,023,432","1,020,439","1,027,945","1,035,890","1,051,259","1,066,230","1,085,322","1,105,727","1,129,482","1,153,909","1,172,419","1,179,921","1,184,211","1,184,534","1,187,946","1,190,201","1,201,836","1,223,602","1,250,045","1,272,165","1,279,396"
30 to 34 years,"1,283,472","1,293,444","1,303,864","1,308,137","1,301,887","1,273,499","1,238,172","1,191,860","1,148,264","1,117,071","1,109,732","1,103,900","1,095,145","1,086,222","1,082,294","1,078,944","1,088,063","1,103,570","1,124,324","1,144,355","1,166,280","1,188,128","1,209,632","1,225,669","1,229,883","1,239,172","1,248,629","1,263,972","1,285,925","1,311,449"
35 to 39 years,"1,173,294","1,207,438","1,238,282","1,261,805","1,283,215","1,306,984","1,320,651","1,333,250","1,338,852","1,334,113","1,308,165","1,277,585","1,234,608","1,193,193","1,161,519","1,149,974","1,144,071","1,142,051","1,139,232","1,140,242","1,138,492","1,151,047","1,165,822","1,183,797","1,197,143","1,216,781","1,238,035","1,265,639","1,292,390","1,313,248"
40 to 44 years,"1,061,711","1,072,063","1,092,612","1,122,280","1,157,618","1,189,973","1,227,382","1,258,559","1,280,760","1,301,404","1,326,009","1,341,052","1,356,042","1,367,835","1,369,357","1,345,529","1,308,806","1,264,719","1,225,300","1,195,963","1,190,494","1,190,224","1,188,477","1,185,309","1,182,711","1,181,764","1,189,546","1,203,513","1,223,278","1,244,213"
45 to 49 years,"829,585","889,989","939,560","985,934","1,030,656","1,066,168","1,078,358","1,099,487","1,130,053","1,165,359","1,197,789","1,235,194","1,267,090","1,290,133","1,310,423","1,334,092","1,351,375","1,370,542","1,383,531","1,380,836","1,350,361","1,321,536","1,284,569","1,251,287","1,225,541","1,221,090","1,215,550","1,210,692","1,206,950","1,204,968"
50 to 54 years,"667,929","693,592","727,077","760,220","792,755","829,470","889,347","937,913","981,421","1,025,786","1,063,704","1,077,360","1,098,576","1,130,355","1,166,887","1,200,952","1,235,418","1,265,892","1,290,617","1,313,888","1,340,989","1,359,154","1,377,344","1,390,545","1,390,415","1,367,116","1,333,934","1,293,519","1,257,812","1,232,050"
55 to 59 years,"618,673","618,269","623,228","637,731","651,829","671,325","694,457","724,255","753,822","783,496","819,360","880,913","931,433","975,656","1,018,725","1,055,280","1,065,953","1,085,345","1,114,393","1,148,173","1,179,504","1,220,401","1,258,923","1,289,088","1,314,212","1,341,103","1,356,256","1,372,000","1,383,192","1,380,219"
60 to 64 years,"611,479","614,991","616,488","615,875","614,518","613,831","613,580","617,410","628,494","639,653","657,929","682,834","713,976","746,552","778,534","814,788","871,684","918,923","960,955","1,003,392","1,036,368","1,046,823","1,069,420","1,102,217","1,140,251","1,177,183","1,215,337","1,249,186","1,276,958","1,300,035"
65 to 69 years,"587,571","586,515","587,987","586,428","587,631","589,813","593,490","595,146","594,100","592,084","591,873","592,209","596,919","608,920","620,019","640,242","665,000","695,014","725,384","754,710","787,301","843,134","891,949","934,364","976,717","1,011,549","1,026,145","1,047,723","1,080,436","1,116,694"
