Age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0 to 4 years,"1,002,210","1,020,551","1,031,613","1,030,173","1,017,574","1,004,433","983,136","959,260","936,068","916,180","898,031","881,975","873,741","874,686","877,651","888,125","900,318","919,548","938,644","958,928","973,013","980,985","985,155","986,082","986,676","993,580","994,520","994,308","990,580","985,452"
5 to 9 years,"991,222","997,989","1,001,051","1,008,418","1,020,229","1,032,530","1,044,772","1,054,726","1,053,148","1,043,712","1,032,429","1,018,791","997,085","975,051","954,781","936,688","925,431","920,060","920,911","920,043","928,425","945,652","966,874","985,043","1,003,138","1,019,960","1,030,316","1,038,162","1,042,768","1,045,953"
10 to 14 years,"975,794","991,139","1,005,051","1,016,851","1,024,939","1,031,500","1,037,515","1,040,112","1,043,607","1,053,098","1,065,250","1,083,427","1,096,137","1,096,803","1,086,955","1,071,000","1,058,155","1,042,424","1,025,166","1,006,314","986,954","974,448","969,050","970,398","968,904","978,544","992,477","1,014,167","1,035,230","1,055,313"
15 to 19 years,"991,134","989,645","992,128","1,005,733","1,018,765","1,033,204","1,042,839","1,054,951","1,066,125","1,077,494","1,088,281","1,094,685","1,095,603","1,103,402","1,119,372","1,136,295","1,142,457","1,149,464","1,151,361","1,149,965","1,145,788","1,132,074","1,112,409","1,094,406","1,080,291","1,074,818","1,076,108","1,082,239","1,083,225","1,074,091"
20 to 24 years,"1,061,978","1,051,986","1,041,399","1,030,001","1,021,422","1,017,687","1,023,408","1,027,574","1,042,649","1,058,812","1,078,970","1,094,908","1,113,265","1,129,998","1,142,940","1,152,981","1,155,932","1,154,716","1,163,650","1,178,481","1,193,322","1,220,026","1,241,717","1,252,785","1,244,697","1,242,113","1,250,319","1,270,494","1,292,739","1,295,347"
25 to 29 years,"1,272,329","1,230,926","1,182,339","1,136,797","1,101,624","1,085,556","1,076,689","1,064,174","1,054,528","1,050,780","1,052,680","1,057,727","1,062,820","1,073,774","1,084,867","1,099,354","1,118,900","1,143,370","1,168,019","1,184,964","1,188,376","1,199,716","1,209,043","1,225,550","1,239,356","1,264,270","1,290,055","1,325,044","1,353,893","1,365,844"
30 to 34 years,"1,301,807","1,310,907","1,322,893","1,331,842","1,327,016","1,298,177","1,263,973","1,211,050","1,165,817","1,136,367","1,130,642","1,127,602","1,119,906","1,108,478","1,099,816","1,092,313","1,094,111","1,103,818","1,121,021","1,138,881","1,159,976","1,179,945","1,202,017","1,222,168","1,230,618","1,249,488","1,266,458","1,289,327","1,319,176","1,350,274"
35 to 39 years,"1,174,389","1,204,928","1,239,438","1,264,078","1,287,509","1,312,547","1,331,251","1,345,394","1,356,733","1,354,673","1,330,955","1,300,743","1,255,674","1,214,103","1,184,813","1,172,793","1,163,066","1,157,914","1,148,824","1,142,061","1,133,933","1,140,950","1,151,645","1,165,475","1,174,086","1,193,244","1,217,891","1,251,700","1,288,783","1,317,432"
40 to 44 years,"1,069,653","1,074,605","1,089,326","1,116,243","1,149,564","1,181,315","1,218,811","1,251,699","1,275,360","1,299,531","1,329,876","1,350,625","1,369,714","1,386,921","1,390,861","1,370,062","1,332,425","1,283,966","1,240,231","1,207,096","1,195,287","1,191,249","1,186,258","1,177,103","1,167,211","1,160,414","1,164,185","1,178,063","1,198,765","1,220,034"
45 to 49 years,"844,293","900,503","946,112","987,468","1,029,464","1,063,357","1,075,125","1,091,661","1,118,039","1,150,069","1,181,591","1,220,971","1,257,196","1,284,695","1,310,010","1,338,471","1,360,297","1,384,258","1,401,175","1,399,339","1,369,619","1,336,245","1,292,960","1,252,324","1,220,275","1,210,028","1,202,542","1,196,875","1,190,901","1,185,148"
